Category Name (EN),Category Name (NL),Item Name (EN),Item Name (NL),Description (EN),Description (NL),Price (EUR),Add-on Price,Stock Status,Visibility,Image URL,Category Order,Item Order
Tacos,Tacos,Bel Beef Tacos Menu,Bel Beef Tacos Menu,,"Gegrilde tortilla met frietjes, gehakt, mozzarella en cheddar kaassaus. Geserveerd met frietjes, drankje en saus.",15.00,Chaudfontaine Plat (€3.00) | V Cola Regular (€3.00) | Sariyer Cola 33cl (€3.00) | Palestine Cola (€3.00) | Capri-Sun Orange 0.2L (€3.00) | Sariyer Orange 33cl (€3.00),In Stock,Visible,,0,0
Side,Side,Bel Grilled Wings (8 stuks),Bel Grilled Wings (8 stuks),"Juicy grilled chicken wings with light seasoning, served with a sauce of choice.","Malse kipvleugels met een lichte kruiding, geserveerd met een saus naar keuze",9.00,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778442379452-90478b8e-4032-49ba-8727-85ff16ce7730.webp,6,0
Tacos,Tacos,Bel Chicken Tacos Menu,Bel Chicken Tacos Menu,,"Gegrillte tortilla met frietjes, nuggets, kip, mozzarella en cheddar kaassaus. Geserveerd met frietjes, drankje en saus naar keuze.",15.00,,In Stock,Visible,,0,1
Family Meals,Family Meals,10 Nuggets,10 Nuggets,"10 pieces of crispy chicken nuggets, 100% halal, perfectly golden fried","10 stuks knapperige kipnuggets, 100% halal, perfect goudbruin gebakken",7.90,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778444505705-841a2e43-6f2f-47c2-a321-facad6b7a220.webp,3,1
Side,Side,Uienringen (10 stuks),Uienringen (10 stuks),"Crispy onion rings – crunchy outside, soft inside.","Krokant van buiten, zacht van binnen – perfect bij elke maaltijd",5.00,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778482124155-0dc1d834-02c7-483d-af70-a4d7328690f7.webp,6,1
Side,Side,Kip Wings (6 stuks) + Saus,Kip Wings (6 stuks) + Saus,"Juicy chicken wings with light seasoning, served with a sauce of choice.","Malse kipvleugels met een lichte kruiding, geserveerd met een saus naar keuze",9.00,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778482172057-8e182931-3474-4031-8967-870eb95ba516.webp,6,2
Tacos,Tacos,Bel Chicken Tacos,Bel Chicken Tacos,,"Gegrilde tortilla met frietjes, nuggets, krokante kip, mozzarella en cheddar kaassaus.",9.60,,In Stock,Visible,,0,2
Family Meals,Family Meals,Crunchy Box,Crunchy Box,"3 crunchy chicken burgers, 2 cheesy chicken tender wraps, fries, 6 onion rings, 4 sauces, and 3 drinks.","3 knapperige kipburgers, 2 cheesy wraps met kip tenders, frietjes, 6 onion rings, 4 sauzen en 3 dranken.",38.78,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778463333279-d0d56a3b-6986-443f-9702-3f4e8704ae84.webp,3,3
Side,Side,Kip Tenders (5 stuks) + Saus,Kip Tenders (5 stuks) + Saus,"Golden brown crispy chicken tenders, served with a delicious sauce.","Goudbruine krokante kipfilets, geserveerd met een heerlijke saus",9.00,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778442433521-90b05501-bfe4-4bea-a4b2-0efd07d91a58.webp,6,3
Tacos,Tacos,Bel Beef Tacos,Bel Beef Tacos,,"Gegrilde tortilla met frietjes, nuggets, gehakt, mozzarella en cheddar kaassaus.",9.60,,In Stock,Visible,,0,3
Side,Side,Mix Box – 3 tenders + 3 wings + 3 sauzen,Mix Box – 3 tenders + 3 wings + 3 sauzen,A complete chicken experience! Delicious crispy chicken with three different sauces.,Een volledige kip-ervaring! Heerlijke krokante kip met drie verschillende sauzen,9.00,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778442525182-1d4afcdc-bfb0-4026-b99d-956b283f6de8.webp,6,4
Vegetarian Burgers,Vegetarian Burgers,Veggie Bel Burger Menu,Veggie Bel Burger Menu,,"Plantaardige burger met sla, tomaat en pittige vegan saus. Geserveerd met frietjes, drankje en speciale saus.",15.00,,In Stock,Visible,,1,4
Vegetarian Burgers,Vegetarian Burgers,Veggie Bel Burger,Veggie Bel Burger,,"Krokante plantaardige burger met sla, tomaat en pittige vegan saus.",9.60,,In Stock,Visible,,1,5
Pasta,Pasta,Bel Farfalle Bolognese,Bel Farfalle Bolognese,,"Ground veal, tomato sauce, tomato juice, carrots, onions, garlic, bay leaves, and oregano.",12.60,,In Stock,Visible,,2,6
Pasta,Pasta,Bel Farfalle Creamy Chicken,Bel Farfalle Creamy Chicken,,"Tender chicken breast, fresh cream, tomato sauce, white onions, and garlic.",11.40,,In Stock,Visible,,2,7
Pasta,Pasta,Bel Farfalle Shrimp White Sauce,Bel Farfalle Shrimp White Sauce,,"Shrimp, fresh cream, mushrooms, onions, and oregano.",14.40,,In Stock,Visible,,2,8
Family Meals,Family Meals,Family Burger Feast,Family Burger Feast,"3 burgers of your choice with soft drinks, fries, and homemade sauces.","3 burgers naar keuze met frisdrank, frietjes en huisgemaakte sausjes.",47.94,Crispy Chicken Bel (€9.60) | Spicy Chicken Bel (€9.60) | BBQ Chicken Bel (€9.60) | Bel Honey Mustard Chicken Burger (€9.60) | Bel Sweet & Spicy Chicken Burger (€9.60) | Bel Peri-Peri Chicken Burger (€9.60) | Bel Jalapeno Chicken (€9.60) | Chaudfontaine Plat (€3.00) | V Cola Regular (€3.00) | Sariyer Cola 33cl (€3.00) | Palestine Cola (€3.00) | Capri-Sun Orange 0.2L (€3.00) | Sariyer Orange 33cl (€3.00),In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778464639252-c516637a-461d-4073-81e5-324816fb2d92.webp,3,9
Family Meals,Family Meals,Wings & Tenders Box,Wings & Tenders Box,"10 tender chicken tenders, 10 chicken wings, 3 portions of crinkle-cut fries, and 3 homemade dipping sauces.","10 malse chicken tenders, 10 kippenvleugels, 3 porties zigzag-frietjes en 3 huisgemaakte dipsausjes.",40.68,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778467486821-43aacb84-b970-4992-bd1a-12297aadf165.webp,3,10
Family Meals,Family Meals,Tacos Family Box,Tacos Family Box,"Choose 4 tacos with fries, nuggets, cheese sauce, and cheese. Includes 4 drinks and 4 dipping sauces.","Kies 4 taco’s met frietjes, nuggets, kaassaus en kaas. Inclusief 4 drankjes en 4 dipsausjes.",55.14,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778465224533-f6cf8d51-e66e-488c-9731-97c2d8638c1f.webp,3,11
Family Meals,Family Meals,Bel Mega Box,Bel Mega Box,"4 burgers of your choice with 4 drinks, crinkle-cut fries, and homemade sauces.","4 burgers naar keuze met 4 drankjes, zigzag-frietjes en huisgemaakte sauzen.",55.08,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778465998801-85fd7496-bbf1-401e-a5f0-3cdfde5df405.webp,3,12
Family Meals,Family Meals,Wings & Nuggets Family Box,Wings & Nuggets Family Box,"10 nuggets, 10 chicken wings, 3 portions of crinkle-cut fries, and 3 dipping sauces.","10 nuggets, 10 kippenvleugels, 3 porties zigzag-frietjes en 3 dipsausjes.",31.08,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778458618941-544066f0-9850-4600-a418-af1f9abd1ec2.webp,3,13
Kids Menu,Kids Menu,Kinder Burger Menu,Kinder Burger Menu,,"Knapperige chicken burger, frietjes, 3 chicken nuggets, Capri-Sun Orange en klein verrassingsspeelgoed.",16.80,,In Stock,Visible,,4,14
Fries,Fries,Bel Classic Fries,Bel Classic Fries,,Classic fries.,5.94,,In Stock,Visible,,5,15
Fries,Fries,Bel Special Fries,Bel Special Fries,,Special loaded fries.,10.74,,In Stock,Visible,,5,16
Fries,Fries,Gegrilde Groenten Friet,Gegrilde Groenten Friet,,"Zigzag frietjes met mozzarella, krokante kip, crispy ballen, uitjes, cheddar saus, pittige saus en lente-uitjes.",10.74,,In Stock,Visible,,5,17
Fries,Fries,Bel Combo Fries Grote Portie,Bel Combo Fries Grote Portie,,"Zigzag frietjes met mozzarella, krokante kip, crispy ballen, krokante uitjes, cheddar saus, pittige saus en lente-uitjes.",18.60,,In Stock,Visible,,5,18
Dranken,Dranken,Chaudfontaine Plat,Chaudfontaine Plat,,Still water.,3.00,,In Stock,Visible,,7,19
Dranken,Dranken,V Cola Regular,V Cola Regular,,Soft drink.,3.00,,In Stock,Visible,,7,20
Dranken,Dranken,Sariyer Cola 33cl,Sariyer Cola 33cl,,Soft drink.,3.00,,In Stock,Visible,,7,21
Dranken,Dranken,Palestine Cola,Palestine Cola,,Soft drink.,3.00,,In Stock,Visible,,7,22
Dranken,Dranken,Capri-Sun Orange 0.2L,Capri-Sun Orange 0.2L,,Juice drink.,3.00,,In Stock,Visible,,7,23
Dranken,Dranken,Sariyer Orange 33cl,Sariyer Orange 33cl,,Soft drink.,3.00,,In Stock,Visible,,7,24
Extras,Extras,Extra plak Cheddar,Extra plak Cheddar,,Extra cheddar slice.,3.00,,In Stock,Visible,,8,25
Extras,Extras,Extra kip,Extra kip,,Extra chicken.,4.80,,In Stock,Visible,,8,26
Extras,Extras,Gekarameliseerde uien,Gekarameliseerde uien,,Caramelized onions.,3.60,,In Stock,Visible,,8,27
Extras,Extras,Gebakken champignons in boter,Gebakken champignons in boter,,Mushrooms fried in butter.,3.60,,In Stock,Visible,,8,28
Extras,Extras,Extra rundvlees (120g),Extra rundvlees (120g),,Extra beef patty 120g.,5.40,,In Stock,Visible,,8,29
Extras,Extras,Extra augurken,Extra augurken,,Extra pickles.,1.80,,In Stock,Visible,,8,30
Beef Burgers Menu,Beef Burgers Menu,Classic Bel Burger Menu,Classic Bel Burger Menu,"Soft brioche bun, halal patty, cheddar, lettuce, tomato, pickles, and sauce. Served with fries, a soft drink, and dipping sauce.","Zachte brioche bun, halal patty, cheddar, sla, tomaat, augurk en saus. Geserveerd met frietjes, frisdrank en dipsaus.",14.40,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778477236872-23ae3e11-f074-4014-8f65-d125f8afc77a.webp,9,31
Beef Burgers Menu,Beef Burgers Menu,Smoky Bel Burger Menu,Smoky Bel Burger Menu,"Halal beef patty with cheddar, crispy onions, lettuce, tomato, and BBQ sauce. Served with fries, a soft drink, and dipping sauce.","Halal rundvleespatty met cheddar, krokante uitjes, sla, tomaat en BBQ-saus. Geserveerd met frietjes, frisdrank en dipsaus.",15.00,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778477257231-e64318e5-c659-47a9-84ba-15438a332976.webp,9,32
Beef Burgers Menu,Beef Burgers Menu,Bel Mushroom Burger Menu,Bel Mushroom Burger Menu,"Brioche bun with a halal patty, cheddar, mushrooms, onions, mushroom sauce, and lettuce. Served with fries, a soft drink, and sauce.","Brioche bun met halal patty, cheddar, champignons, uien, paddenstoelensaus en sla. Geserveerd met frietjes, frisdrank en saus.",15.00,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778477280728-9b669c60-446c-4b84-bc8f-2d63bb9a46be.webp,9,33
Beef Burgers Menu,Beef Burgers Menu,Bel Bacon BBQ Burger Menu,Bel Bacon BBQ Burger Menu,"Halal beef patty with cheddar, halal bacon, lettuce, tomato, and BBQ sauce. Served with fries, a soft drink, and dipping sauce.","Halal rundvleespatty met cheddar, halal spek, sla, tomaat en BBQ-saus. Geserveerd met frietjes, frisdrank en dipsaus.",15.00,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778477296635-b0e0fea3-7595-4759-b6b9-8e16c5e0be37.webp,9,34
Beef Burgers Menu,Beef Burgers Menu,Bel Cheddar Double Burger Menu,Bel Cheddar Double Burger Menu,"Two halal beef patties with cheddar, lettuce, crispy mozzarella sticks, and cheese sauce. Served with fries, a soft drink, and dipping sauce.","Twee halal rundvleespatties met cheddar, sla, krokante mozzarella sticks en cheddar saus. Geserveerd met frietjes, frisdrank en dipsaus.",17.40,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778477318287-b7fe33c3-21f2-4572-aec1-38178c015368.webp,9,35
Beef Burgers Menu,Beef Burgers Menu,Bel Texas Burger Menu,Bel Texas Burger Menu,"Halal beef patty with cheddar, lettuce, tomato, and crispy onion rings. Served with fries, a soft drink, and dipping sauce.","Halal rundvleespatty, cheddar, sla, tomaat en krokante onion rings. Geserveerd met frietjes, frisdrank en dipsaus.",15.00,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778477352164-56ededd0-9cbd-4710-b323-b2d443bc2065.webp,9,36
Beef Burgers Menu,Beef Burgers Menu,Big Bel Burger Menu,Big Bel Burger Menu,"Two halal beef patties, double cheddar, lettuce, and tomato. Served with fries, a soft drink, and dipping sauce.","Twee halal rundvleespatties, dubbel cheddar, sla en tomaat. Geserveerd met frietjes, frisdrank en dipsaus.",17.40,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778477385657-b0113714-5cae-42a6-9bdd-ecdfceced93d.webp,9,37
Beef Burgers,Beef Burgers,Classic Bel Burger,Classic Bel Burger,"Brioche bun with a halal patty, cheddar, lettuce, tomato, pickles, and homemade sauce.","Brioche bun met halal patty, cheddar, sla, tomaat, augurk en huisgemaakte saus.",9.00,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778477473063-6ad86fb6-452a-4343-ac3f-53cbc85a3299.webp,10,38
Beef Burgers,Beef Burgers,Bel Mushroom Burger,Bel Mushroom Burger,"Halal patty with cheddar, mushrooms, onions, and creamy mushroom sauce on lettuce and a brioche bun.","Halal patty met cheddar, champignons, uien en romige champignonsaus op sla en brioche bun.",9.60,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778477518043-7368daa3-9089-461c-8c71-c413e4558b6f.webp,10,39
Beef Burgers,Beef Burgers,Bel Bacon BBQ Burger,Bel Bacon BBQ Burger,"Halal patty with cheddar, halal bacon, lettuce, tomato, and BBQ sauce on a brioche bun.","Halal patty met cheddar, halal spek, sla, tomaat en BBQ-saus op een brioche bun.",9.60,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778481623920-4be36ae0-5735-4dc5-a8fe-8178c3503cad.webp,10,40
Beef Burgers,Beef Burgers,Bel Cheddar Double Burger,Bel Cheddar Double Burger,"Two halal beef patties, melted cheddar, mozzarella sticks, cheese sauce, and lettuce on a brioche bun.","Twee halal rundvleespatties, gesmolten cheddar, mozzarella sticks, cheddarsaus, sla en brioche bun.",12.00,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778481725969-9a61d8ad-d578-4506-ac70-0073e1d7fd36.webp,10,41
Beef Burgers,Beef Burgers,Bel Texas Burger,Bel Texas Burger,"Halal patty with cheddar, lettuce, tomato, and crispy onion rings on a soft brioche bun.","Halal patty met cheddar, sla, tomaat en krokante onion rings op een zachte brioche bun.",9.60,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778481900001-769bba77-5827-4c7d-9a92-e4f34f763008.webp,10,42
Beef Burgers,Beef Burgers,Smoky Bel Burger,Smoky Bel Burger,"Halal beef with lettuce, tomato, cheese, fried onions, and smoky barbecue sauce.","Halal rundvlees met sla, tomaat, kaas, gebakken uitjes en smoky barbecuesaus.",9.60,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778481994529-6b7fa700-ce29-4c3c-bed0-cfd15d40b13d.webp,10,43
Beef Burgers,Beef Burgers,Big Bel Burger,Big Bel Burger,"Two halal beef patties, melted cheddar, lettuce, tomato, and brioche bun.","Twee halal rundvleespatties, gesmolten cheddar, sla, tomaat en brioche bun.",12.00,,In Stock,Visible,https://rjilmezpvysgphgqlafw.supabase.co/storage/v1/object/public/menu-images/menu/1778481797916-5f2a4de7-3774-420a-bf2f-f4abdcdc07a5.webp,10,44
Chicken Burgers Menu,Chicken Burgers Menu,Crispy Chicken Bel Menu,Crispy Chicken Bel Menu,,"Krokante kipfilet met huisgemaakte saus, sla en tomaat. Geserveerd met frietjes, drankje en saus.",15.00,Chaudfontaine Plat (€5.00) | V Cola Regular (€3.00) | Sariyer Cola 33cl (€3.00) | Palestine Cola (€3.00) | Capri-Sun Orange 0.2L (€3.00) | Sariyer Orange 33cl (€3.00),In Stock,Visible,,11,45
Chicken Burgers Menu,Chicken Burgers Menu,Spicy Chicken Bel Menu,Spicy Chicken Bel Menu,,"Krokante kipfilet met sla, tomaat, kaas en pittige saus. Geserveerd met frietjes, frisdrank en dipsaus.",15.00,Chaudfontaine Plat (€3.00) | V Cola Regular (€3.00) | Sariyer Cola 33cl (€3.00) | Palestine Cola (€3.00) | Capri-Sun Orange 0.2L (€3.00) | Sariyer Orange 33cl (€3.00),In Stock,Visible,,11,46
Chicken Burgers Menu,Chicken Burgers Menu,BBQ Chicken Bel Menu,BBQ Chicken Bel Menu,,"Krokante kipfilet met sla, tomaat, kaas, uitjes en barbecuesaus. Geserveerd met frietjes, frisdrank en dipsaus.",15.00,,In Stock,Visible,,11,47
Chicken Burgers Menu,Chicken Burgers Menu,Bel Honey Mustard Chicken Burger Menu,Bel Honey Mustard Chicken Burger Menu,,"Krokante kipfilet, sla, tomaat, kaas en honing-mosterdsaus. Geserveerd met frietjes, frisdrank en dipsaus.",15.00,,In Stock,Visible,,11,48
Chicken Burgers Menu,Chicken Burgers Menu,Bel Sweet & Spicy Chicken Burger Menu,Bel Sweet & Spicy Chicken Burger Menu,,"Krokante kipfilet met sla, tomaat, kaas, chili jam en sriracha saus. Geserveerd met frietjes, frisdrank en dipsaus.",15.00,,In Stock,Visible,,11,49
Chicken Burgers Menu,Chicken Burgers Menu,Bel Peri-Peri Chicken Burger Menu,Bel Peri-Peri Chicken Burger Menu,,"Krokante kipfilet met sla, tomaat, kaas en peri-peri saus. Geserveerd met frietjes, frisdrank en dipsaus.",15.00,,In Stock,Visible,,11,50
Chicken Burgers Menu,Chicken Burgers Menu,Bel Jalapeno Chicken Menu,Bel Jalapeno Chicken Menu,,"Krokante kipfilet met sla, tomaat, jalapeño en pittige saus. Geserveerd met frietjes, frisdrank en dipsaus.",15.00,,In Stock,Visible,,11,51
Chicken Burgers,Chicken Burgers,Crispy Chicken Bel,Crispy Chicken Bel,,"Krokante kipfilet met sla, tomaat, kaas en romige huisgemaakte saus.",9.60,,In Stock,Visible,,12,52
Chicken Burgers,Chicken Burgers,Spicy Chicken Bel,Spicy Chicken Bel,,"Krokante kipfilet met huisgemaakte scherpe saus, sla, tomaat en kaas.",9.60,,In Stock,Visible,,12,53
Chicken Burgers,Chicken Burgers,BBQ Chicken Bel,BBQ Chicken Bel,,"Krokante kipfilet met sla, tomaat, kaas, gebakken uitjes en barbecuesaus.",9.60,,In Stock,Visible,,12,54
Chicken Burgers,Chicken Burgers,Bel Honey Mustard Chicken Burger,Bel Honey Mustard Chicken Burger,,"Krokante kipfilet met sla, tomaat, kaas en honing-mosterdsaus.",9.60,,In Stock,Visible,,12,55
Chicken Burgers,Chicken Burgers,Bel Sweet & Spicy Chicken Burger,Bel Sweet & Spicy Chicken Burger,,"Krokante kipfilet met sla, tomaat, kaas, chili jam en sriracha saus.",9.60,,In Stock,Visible,,12,56
Chicken Burgers,Chicken Burgers,Bel Peri-Peri Chicken Burger,Bel Peri-Peri Chicken Burger,,"Krokante kipfilet met sla, tomaat, kaas en peri-peri saus.",9.60,,In Stock,Visible,,12,57
Chicken Burgers,Chicken Burgers,Bel Jalapeno Chicken,Bel Jalapeno Chicken,,Krokante kipfilet met jalapeño en huisgemaakte romige pittige saus.,9.60,,In Stock,Visible,,12,58